FACTResultID,MakeID,AgeID,MileageID,CylinderCapacityID,Result
290325711,63,4,3,7744,1
290325720,276,4,5,1394,1
290325722,276,4,5,1056,1
290325724,276,4,5,6135,1
290325729,63,5,5,33,1
290325732,469,4,4,6789,1
290325735,160,4,4,4751,1
290325737,63,4,5,1137,1
290325738,63,4,4,190,1
290325741,392,4,4,7829,1
290325709,160,3,3,4500,1
290325706,103,2,2,512,1
290325704,216,2,3,1085,1
290325703,508,5,4,5236,1
290325702,109,4,5,4095,1
290325701,276,5,6,5497,1
290325699,7,5,5,3975,1
290325693,7,3,3,5497,1
290325689,216,5,5,2580,1
290325687,63,4,1,7783,1
290325686,250,4,4,5311,1
290325684,503,4,5,6240,1
290325678,109,4,4,7744,1
290325673,503,4,5,171,1
290325672,392,4,5,3383,1
290325668,323,3,2,5009,1
290325666,508,4,5,1056,1
290325664,63,4,5,1137,1
290325657,7,3,5,5497,1
290325656,250,4,4,1056,1
290325653,250,4,4,6127,1
290325651,103,3,3,1533,1
290325648,7,5,2,190,1
290325644,462,4,1,4958,1
290325642,469,4,3,7351,1
290325640,109,4,5,7744,1
290325638,469,4,4,1434,1
290325633,63,4,4,4379,1
290325632,503,4,5,4323,1
290325629,250,5,5,5360,1
290325626,508,5,4,5236,1
290325623,63,5,4,7744,1
290325621,160,5,3,6240,1
290325618,469,5,5,5009,1
290325612,276,5,4,7304,1
290325609,49,5,4,7744,1
290325607,311,5,5,6142,1
290325604,39,5,1,3872,1
290325603,276,5,3,1533,1
290325599,267,5,4,3587,1
290325596,63,3,5,310,1
290325583,183,5,4,1943,1
290325581,469,5,5,4174,1
290325580,7,5,3,4767,1
290325579,276,5,1,1533,1
290325574,276,4,2,1533,1
290325571,529,5,4,3587,1
290325570,276,5,4,7304,1
290325568,63,5,6,7744,1
290325561,267,5,4,7744,1
290325560,63,5,3,33,1
290325558,88,5,2,2461,1
290325555,276,5,4,1533,1
290325553,508,5,1,7304,1
290325545,63,5,5,33,1
290325535,420,5,5,1434,1
290325533,7,5,3,611,1
